instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,llama-3.3-70b-versatile,negative,negative,0.9,True,False,293,62,ebbb14848c53a1f0,0.5,,0.8,,0.42857142857142855,,0.0,0.5,0.5761904761904763,False,,True,True,False,True,3,3
sst2_validation_0001,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,266,50,ba03e9c7e06ebe6b,1.0,,1.0,,1.0,,1.0,1.0,1.0,False,negative,True,True,False,True,3,3
sst2_validation_0002,sst2,llama-3.3-70b-versatile,negative,negative,0.9,True,False,275,46,632f05c570eb9781,1.0,0.2,1.0,0.2,1.0,0.2,0.7999999999999999,0.8999999999999999,0.6000000000000001,True,positive,True,True,True,True,5,1
sst2_validation_0003,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,282,53,6d3cc2d0162fdf8d,1.0,,1.0,,1.0,,0.9999999999999999,1.0,1.0,False,positive,True,True,False,True,5,5
sst2_validation_0004,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,285,52,fe82006ca66ed1f5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,0.3333333333333334,0.6666666666666667,0.6666666666666666,False,positive,True,True,False,True,3,3
sst2_validation_0005,sst2,llama-3.3-70b-versatile,positive,positive,0.95,True,False,276,52,3fffe17d808c5583,1.0,0.2,1.0,0.2,1.0,0.2,0.9999999999999999,1.0,0.6000000000000001,True,negative,True,True,True,True,5,1
sst2_validation_0006,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,271,49,19716630de352c04,0.125,0.0,0.6666666666666666,0.25,0.125,0.0,0.3333333333333334,0.6666666666666667,0.19444444444444442,True,positive,True,True,True,True,1,0
sst2_validation_0007,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,279,43,461ce7d654cf73ea,1.0,,1.0,,1.0,,0.7999999999999999,0.8999999999999999,1.0,False,positive,True,True,False,True,5,5
sst2_validation_0008,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,274,53,68ac624bb5647ef1,0.8,0.25,0.8,0.2,1.0,0.2,1.0,1.0,0.5416666666666667,True,positive,True,True,True,True,4,1
sst2_validation_0009,sst2,llama-3.3-70b-versatile,positive,positive,0.8,True,False,265,46,0e78d798fc6c570a,1.0,0.5,,0.5,,,,,0.6666666666666666,True,negative,True,True,True,False,1,1
mnli_validation_matched_0000,mnli,llama-3.3-70b-versatile,neutral,contradiction,1.0,False,False,55,3,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0001,mnli,llama-3.3-70b-versatile,neutral,neutral,0.8,True,False,299,58,5d436fd01abbdb0b,0.14285714285714285,,0.4,,0.5,,,,0.34761904761904766,False,neutral,True,True,False,True,1,1
mnli_validation_matched_0002,mnli,llama-3.3-70b-versatile,entailment,entailment,0.9,True,False,302,50,ed542e8118eca549,1.0,,1.0,,1.0,,0.9999999999999999,1.0,1.0,False,entailment,True,True,False,True,5,5
mnli_validation_matched_0003,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,313,54,fd7769715006e52e,0.6666666666666666,,1.0,,0.6666666666666666,,,,0.7777777777777777,False,contradiction,True,True,False,True,4,4
mnli_validation_matched_0004,mnli,llama-3.3-70b-versatile,entailment,entailment,1.0,True,False,308,50,b34d47449d2d0db3,0.8,,0.8,,0.6666666666666666,,0.3333333333333334,0.6666666666666667,0.7555555555555555,False,entailment,True,True,False,True,4,4
mnli_validation_matched_0005,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,290,47,2f89b9a7a4a49b69,1.0,,1.0,,1.0,,1.0,1.0,1.0,False,contradiction,True,True,False,True,3,3
mnli_validation_matched_0006,mnli,llama-3.3-70b-versatile,neutral,entailment,0.9,False,False,47,3,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0007,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,291,54,728037a82366269d,0.6,,0.5,,0.6,,,,0.5666666666666668,False,contradiction,True,True,False,True,2,2
mnli_validation_matched_0008,mnli,llama-3.3-70b-versatile,entailment,entailment,1.0,True,False,297,52,7596e1e223125816,0.5,0.16666666666666666,1.0,0.2,0.5,0.16666666666666666,1.0,1.0,0.4222222222222221,True,neutral,True,True,True,True,3,1
ag_news_test_0000,ag_news,llama-3.3-70b-versatile,Business,Business,1.0,True,False,303,53,6158484b6651713a,1.0,,0.6666666666666666,,0.6666666666666666,,,,0.7777777777777777,False,Business,True,True,False,True,4,4
ag_news_test_0001,ag_news,llama-3.3-70b-versatile,World,World,1.0,True,False,311,54,508b76f724cb3bc4,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,0.6666666666666666,False,World,True,True,False,True,3,3
ag_news_test_0002,ag_news,llama-3.3-70b-versatile,World,World,1.0,True,False,306,53,8b17fb3cdddebeb7,0.6666666666666666,,1.0,,0.6666666666666666,,,,0.7777777777777777,False,World,True,True,False,True,4,4
ag_news_test_0003,ag_news,llama-3.3-70b-versatile,Sci/Tech,Sci/Tech,0.9,True,False,300,47,1662f7e986ec19ce,0.5,,1.0,,0.5,,1.0,1.0,0.6666666666666666,False,Sci/Tech,True,True,False,True,3,3
ag_news_test_0004,ag_news,llama-3.3-70b-versatile,Business,Sci/Tech,0.8,False,False,53,3,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0005,ag_news,llama-3.3-70b-versatile,Sci/Tech,World,0.8,False,False,83,3,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0006,ag_news,llama-3.3-70b-versatile,Sports,Sports,1.0,True,False,297,50,265eb84f94f4d713,0.42857142857142855,,0.42857142857142855,,0.6666666666666666,,,,0.5079365079365079,False,,True,True,False,True,2,2
ag_news_test_0007,ag_news,llama-3.3-70b-versatile,Sports,Sports,1.0,True,False,311,45,41f4d8d8e7436a00,0.42857142857142855,,1.0,,0.42857142857142855,,,,0.6190476190476191,False,Sports,True,True,False,True,3,3
